,0
GO:0001829,16.0
GO:0001830,1.0
GO:0001831,2.0
GO:0001832,6.0
GO:0001833,14.0
GO:0001834,3.0
GO:0001835,27.0
GO:0001836,24.0
GO:0001837,48.0
GO:0001838,2.0
GO:0001839,3.0
GO:0001840,2.0
GO:0001841,8.0
GO:0001842,3.0
GO:0001843,78.0
GO:0001844,3.0
GO:0001845,4.0
GO:0001865,3.0
GO:0001866,2.0
GO:0001867,9.0
GO:0001869,2.0
GO:0001878,14.0
GO:0001879,2.0
GO:0001880,4.0
GO:0001881,12.0
GO:0001885,3.0
GO:0001886,9.0
GO:0001887,2.0
GO:0001889,79.0
GO:0001890,37.0
GO:0001892,20.0
GO:0001893,10.0
GO:0001894,22.0
GO:0001895,41.0
GO:0001906,2.0
GO:0001909,1.0
GO:0001910,1.0
GO:0001912,1.0
GO:0001913,14.0
GO:0001914,2.0
GO:0001915,8.0
GO:0001916,36.0
GO:0001919,5.0
GO:0001920,5.0
GO:0001921,12.0
GO:0001922,4.0
GO:0001923,2.0
GO:0001928,1.0
GO:0001932,44.0
GO:0001933,75.0
GO:0001934,201.0
GO:0001935,26.0
GO:0001936,5.0
GO:0001937,32.0
GO:0001938,75.0
GO:0001941,2.0
GO:0001942,38.0
GO:0001944,16.0
GO:0001945,9.0
GO:0001946,12.0
GO:0001947,65.0
GO:0001949,2.0
GO:0001951,4.0
GO:0001952,12.0
GO:0001953,18.0
GO:0001954,27.0
GO:0001955,8.0
GO:0001956,6.0
GO:0001957,7.0
GO:0001958,30.0
GO:0001959,3.0
GO:0001960,7.0
GO:0001961,10.0
GO:0001963,7.0
GO:0001964,15.0
GO:0001966,3.0
GO:0001967,12.0
GO:0001970,2.0
GO:0001971,2.0
GO:0001973,6.0
GO:0001974,38.0
GO:0001975,32.0
GO:0001976,3.0
GO:0001980,1.0
GO:0001984,1.0
GO:0001985,1.0
GO:0001991,1.0
GO:0001992,5.0
GO:0001994,2.0
GO:0001996,3.0
GO:0001997,2.0
GO:0001998,1.0
GO:0002001,3.0
GO:0002002,1.0
GO:0002003,9.0
GO:0002009,20.0
GO:0002011,10.0
GO:0002016,1.0
